year,ARG,BRA,CHE,DNK,EUZ,GBR,SWE,USA,AUS,CAN,CHL,CHN,CZE,HKG,HUN,IDN,JPN,KOR,MEX,MYS,NZL,POL,RUS,SGP,THA,TWN,ZAF
2000,-1.14298725,-3.085010968,-2.888556704,-2.873516632,-2.961904588,-1.568496501,-3.659997623,-1.06,-1.820906433,-2.136756352,-0.68216689,-0.633437671,-3.167348686,-0.396325782,-3.429409136,-0.218222031,0.153211502,-0.435682856,-0.925932051,-0.509105686,-2.027058303,-2.166744799,-1.153460747,-1.037624882,-0.411144768,-0.182570627,-0.901814342
2001,-1.14298725,-3.089220044,-2.717526442,-3.026342926,-3.081104587,-1.724796501,-4.0402994,-1.03,-1.847421584,-1.940916477,-1.037022934,-0.633437671,-3.121988334,-0.333901899,-3.327631216,-0.689054583,-0.249405661,-0.87911314,-0.789599977,-0.509105686,-2.261110713,-1.981794715,-1.328352995,-1.096773403,-0.649721981,-0.342492752,-1.047988125
2002,-2.844265205,-3.194594122,-2.563964217,-2.99841422,-2.966404589,-1.684996501,-3.87492975,-1.08,-1.749669874,-1.954512754,-0.996124178,-0.560973903,-2.902591652,-0.305696771,-2.956962899,-0.346556611,-0.604988788,-0.76596347,-0.787059703,-0.372263581,-2.111457735,-1.985418526,-1.289425659,-1.10679101,-0.588305337,-0.458658073,-1.351191799
2003,-2.219376138,-3.25097097,-1.760604794,-1.858954487,-2.361704588,-1.426296501,-2.777807448,-0.86,-1.499219062,-1.86863531,-1.178221495,-0.633437671,-2.600446324,-0.231337796,-2.456962899,-0.201163968,-0.43704007,-0.438346051,-0.962737979,-0.372263581,-1.499499468,-1.826277291,-1.221097685,-1.066045239,-0.476780168,-0.458658073,-0.395861961
2004,-2.165021148,-3.034942453,-1.475424009,-1.49046005,-2.054704587,-1.205296503,-2.43274841,-0.67,-1.089845827,-1.747064709,-0.949441394,-0.573051198,-2.428829166,-0.165260314,-2.132614558,-0.277918354,-0.301789332,-0.424487533,-1.078007979,-0.372263581,-1.066161568,-1.817907589,-1.091149797,-0.990153262,-0.412434758,-0.224643344,-0.379238194
2005,-2.003360049,-2.339352318,-1.309044739,-1.376215698,-1.75957259,-1.1300965,-2.208375087,-0.51,-0.86545439,-1.450271737,-0.601669529,-0.560422308,-2.258866582,-0.163419084,-2.041869144,-0.513672583,-0.277684934,-0.656938872,-0.570483964,-0.317000423,-0.545242537,-1.481831003,-1.060838766,-0.75221724,-0.378128289,-0.064378469,-0.142787731
2006,-1.722705497,-1.973696503,-1.287802159,-1.32086476,-1.70233384,-1.088442503,-1.970311336,-0.445,-0.922018327,-1.000975016,-0.169582753,-0.523932155,-1.921912327,-0.157759047,-1.934563628,-0.488757217,-0.411781851,-0.551952541,-0.53618132,-0.207331174,-0.808016563,-1.353834739,-0.850398294,-0.685261224,-0.323555585,-0.12969096,-0.036653939
2007,-0.97319181,-1.429722761,-1.235390754,-0.999041474,-1.354654115,-0.650049251,-1.673152129,-0.255,-0.526585222,-0.689085612,-0.102137427,-0.398393707,-2.093762496,-0.168612821,-1.462439222,-0.286818211,-0.324329874,-0.029141286,-0.468764603,-0.112615016,-0.310614976,-1.0311804,-0.602350239,-0.453444288,-0.080601943,-0.186895583,-0.03929899
2008,0.404529917,0.32831884,-0.403074485,-0.049086385,-0.188462371,-0.264123928,-0.2249229,0.463000896,-0.494684676,-0.278315555,-0.408778559,-0.470632843,0.018814464,0.051463044,0.251481236,0.183375222,-0.223768024,0.106360054,-0.484324276,0.495599379,-0.089123747,-0.236238716,-0.251477757,0.239054288,-0.499318478,-0.128061069,0.424920488
2009,-0.625604501,-0.712225457,-0.374153457,-0.424942756,-0.72558559,-0.882222502,-1.443932108,0,0.009872312,-0.724539055,0.056700027,0.000348005,-0.91831671,0.010321551,-1.029237377,0.005750377,0.836656792,-0.556729279,-0.757469934,0.180932013,-0.641387668,-1.037130626,-0.496487365,-0.038448291,0.029091084,-0.209447891,-0.073356562
